"Tanggal","Tavg","RH_avg","RR","ss","ff_avg","ddd_car"
"16-04-2024","32","75","8888","7.3","2","E "
"17-04-2024","30.6","81","","8.6","2","NW"
"18-04-2024","29.9","81","13.5","7.1","2","SW"
"19-04-2024","29.5","83","21.7","6.3","1","NE"
"20-04-2024","31.2","77","0.1","2.9","2","NE"
"21-04-2024","28.8","86","1","6.9","1","SW"
"22-04-2024","31.5","76","8888","0.6","2","NE"
"23-04-2024","30.6","80","8888","9.1","2","NE"
"24-04-2024","30","83","","2.8","1","N "
"25-04-2024","28.8","89","67.5","1","1","C "
"26-04-2024","29.4","86","20.7","0","1","NE"
"27-04-2024","29.9","81","14.3","6","1","C "
"28-04-2024","31","81","3.3","3.8","1","N "
"29-04-2024","32.2","74","","5.3","2","NE"
"30-04-2024","31.6","79","","7.6","1","N "
